Name,Start,End,Number of Tracks,Length,Electrified,Min Curvature,Speed Limit Track,Speed Limit,Speed Limit Double Tilt,Speed Limit Tilt,Speed Curve,Speed Curve Double Tilt,Speed Curve Tilt
Central Station Suburban,Central Station Suburban North,Central Station Suburban South,10,170,Yes,1600,200,155,195,200,155,195,200
Main Suburban,Central Station Suburban South,Central Airport Branch,10,270,Yes,1000,200,125,150,165,125,150,165
Main Suburban,Central Airport Branch,Central Split,10,350,Yes,800,200,110,135,145,110,135,145
Main Suburban,Central Split,Redfern Station North,10,410,Yes,900,200,115,145,155,115,145,155
Redfern Station,Redfern Station North,Redfern Station South,10,200,Yes,900,200,115,145,155,115,145,155
Main Suburban,Redfern Station South,Eveleigh Railway Yards North,10,130,Yes,0,200,200,200,200,200,200,200
Main Suburban,Eveleigh Railway Yards North,Redfern Split,10,550,Yes,0,200,200,200,200,200,200,200
Main Suburban,Redfern Split,Macdonaldtown Yards,6,140,Yes,0,200,200,200,200,200,200,200
Main Suburban,Macdonaldtown Yards,Macdonaldtown Station East,6,210,Yes,1400,200,145,180,195,145,180,195
Macdonaldtown Station,Macdonaldtown Station East,Macdonaldtown Station West,6,160,Yes,0,200,200,200,200,200,200,200
Main Suburban,Macdonaldtown Station West,Newtown Station East,6,460,Yes,800,200,110,135,145,110,135,145
Newtown Station,Newtown Station East,Newtown Station West,6,160,Yes,0,200,200,200,200,200,200,200
Main Suburban,Newtown Station West,Stanmore Station East,6,1400,Yes,800,200,110,135,145,110,135,145
Stanmore Station,Stanmore Station East,Stanmore Station West,6,170,Yes,800,200,110,135,145,110,135,145
Main Suburban,Stanmore Station West,Petersham Station East,6,660,Yes,700,200,100,125,135,100,125,135
Petersham Station,Petersham Station East,Petersham Station West,6,170,Yes,700,200,100,125,135,100,125,135
Main Suburban,Petersham Station West,West Street Bridge,6,570,Yes,1700,200,160,200,200,160,200,200
Main Suburban,West Street Bridge,Lewisham Station East,6,570,Yes,0,200,200,200,200,200,200,200
Lewisham Station,Lewisham Station East,Lewisham Station West,6,170,Yes,0,200,200,200,200,200,200,200
Main Suburban,Lewisham Station West,Summer Hill Station East,6,600,Yes,0,200,200,200,200,200,200,200
Summer Hill Station,Summer Hill Station East,Summer Hill Station West,6,180,Yes,0,200,200,200,200,200,200,200
Main Suburban,Summer Hill Station West,Summer Hill Straight,6,210,Yes,800,200,110,135,145,110,135,145
Main Suburban,Summer Hill Straight,Ashfield Station East,6,970,Yes,1100,200,130,160,175,130,160,175
Ashfield Station,Ashfield Station East,Ashfield Station West,6,160,Yes,0,200,200,200,200,200,200,200
Main Suburban,Ashfield Station West,Croydon Station East,6,880,Yes,1900,200,170,200,200,170,200,200
Croydon Station,Croydon Station East,Croydon Station West,6,170,Yes,1900,200,170,200,200,170,200,200
Main Suburban,Croydon Station West,Sunshine Buddies ELC,6,510,Yes,1900,200,170,200,200,170,200,200
Main Suburban,Sunshine Buddies ELC,Burwood Station East,6,510,Yes,1000,200,125,150,165,125,150,165
Burwood Station,Burwood Station East,Burwood Station West,6,210,Yes,1000,200,125,150,165,125,150,165
Main Suburban,Burwood Station West,Strathfield Station East,6,960,Yes,900,200,115,145,155,115,145,155
Strathfield Station,Strathfield Station East,Strathfield Station West,6,210,Yes,900,200,115,145,155,115,145,155
Main Suburban,Strathfield Station West,Strathfield Intersection East,10,180,Yes,900,200,115,145,155,115,145,155
Strathfield Junction,Strathfield Intersection East,Strathfield Intersection North,4,530,Yes,900,200,115,145,155,115,145,155
Main North,Strathfield Intersection North,North Strathfield Station South,4,690,Yes,0,200,200,200,200,200,200,200
