Name,Line,Platforms
Central Station Suburban,Central Station Suburban,
Redfern Station,Redfern Station,
Macdonaldtown Station,Macdonaldtown Station,
Newtown Station,Newtown Station,
Stanmore Station,Stanmore Station,
Petersham Station,Petersham Station,
Lewisham Station,Lewisham Station,
Summer Hill Station,Summer Hill Station,
Ashfield Station,Ashfield Station,
Croydon Station,Croydon Station,
Burwood Station,Burwood Station,
Strathfield Station,Strathfield Station,
North Strathfield Station,North Strathfield Station,
Concord West Station,Concord West Station,
Rhodes Station,Rhodes Station,
Meadowbank Station,Meadowbank Station,
West Ryde Station,West Ryde Station,
Denistone Station,Denistone Station,
Eastwood Station,Eastwood Station,
Cheltenham Station,Cheltenham Station,
Beecroft Station,Beecroft Station,
Pennant Hills Station,Pennant Hills Station,
Thornleigh Station,Thornleigh Station,
Normanhurst Station,Normanhurst Station,
Hornsby Station,Hornsby Station,"1,2,3,4,5"
Asquith Station,Asquith Station,
Mount Colah Station,Mount Colah Station,
Mount Kuring-Gai Station,Mount Kuring-Gai Station,
Berowra Station,Berowra Station,
Cowan Station,Cowan Station,
Hawkesbury River Station,Hawkesbury River Station,
Wondabyne Station,Wondabyne Station,
Woy Woy Station,Woy Woy Station,
Koolewong Station,Koolewong Station,
Tascott Station,Tascott Station,
Point Clare Station,Point Clare Station,
Gosford Station,Gosford Station,
Narara Creek Station,Narara Creek Station,
Niagara Park Station,Niagara Park Station,
Lisarow Station,Lisarow Station,
Ourimbah Station,Ourimbah Station,
Tuggerah Station,Tuggerah Station,
Wyong Station,Wyong Station,
Warnervale Station,Warnervale Station,
Wyee Station,Wyee Station,
Morriset Station,Morriset Station,
Dora Creek Station,Dora Creek Station,
Awaba Station,Awaba Station,
Fassifern Station,Fassifern Station,
Booragul Station,Booragul Station,
Teralba Station,Teralba Station,
Cardiff Station,Cardiff Station,
Kotara Station,Kotara Station,
Adamstown Station,Adamstown Station,
Broadmeadow Station,Broadmeadow Station,
Hamilton Station,Hamilton Station,
Wickham Station,Wickham Station,
Civic Station,Civic Station,
Newcastle Station,Newcastle Station,
Waitara Station,Waitara Station,
Wahroonga Station,Wahroonga Station,
Warrawee Station,Warrawee Station,
Turramurra Station,Turramurra Station,
Pymble Station,Pymble Station,
Gordon Station,Gordon Station,
Killara Station,Killara Station,
Lindfield Station,Lindfield Station,
Roseville Station,Roseville Station,
Chatswood Station,Chatswood Station,
Artarmon Station,Artarmon Station,
St Leonards Station,St Leonards Station,
Wollstonecraft Station,Wollstonecraft Station,
Waverton Station,Waverton Station,
North Sydney Station,North Sydney Station,
Milsons Point Station,Milsons Point Station,
Wynyard Station,Wynyard Station,
Town Hall Station,Town Hall Station,
Circular Quay Station,Circular Quay Station,
St James Station,St James Station,
Museum Station,Museum Station,
Homebush Station,Homebush Station,
Lidcombe Station,Lidcombe Station,
Auburn Station,Auburn Station,
Clyde Station,Clyde Station,
Granville Station,Granville Station,
Harris Park Station,Harris Park Station,
Paramatta Station,Paramatta Station,
Westmead Station,Westmead Station,
Wentworthville Station,Wentworthville Station,
Pendle Hill Station,Pendle Hill Station,
Toongabbie Station,Toongabbie Station,
Seven Hills Station,Seven Hills Station,
Blacktown Western Station,Blacktown Western Station,
Doonside Station,Doonside Station,
Rooty Hill Station,Rooty Hill Station,
Mount Druitt Station,Mount Druitt Station,
St Mary's Station,St Mary's Station,
Werrington Station,Werrington Station,
Kingswood Station,Kingswood Station,
Penrith Station,Penrith Station,
Emu Plains Station,Emu Plains Station,
Lapstone Station,Lapstone Station,
Glenbrook Station,Glenbrook Station,
Blaxland Station,Blaxland Station,
Warrimoo Station,Warrimoo Station,
Valley Heights Station,Valley Heights Station,
Springwood Station,Springwood Station,
Faulconbridge Station,Faulconbridge Station,
Linden Station,Linden Station,
Hazelbrook Station,Hazelbrook Station,
Lawson Station,Lawson Station,
Bullaburra Station,Bullaburra Station,
Wentworth Falls Station,Wentworth Falls Station,
Leura Station,Leura Station,
Katoomba Station,Katoomba Station,
Blacktown Richmond Station,Blacktown Richmond Station,
Marayong Station,Marayong Station,
Quakers Hill Station,Quakers Hill Station,
Schofields Station,Schofields Station,
Riverstone Station,Riverstone Station,
Vineyard Station,Vineyard Station,
Mulgrave Station,Mulgrave Station,
Windsor Station,Windsor Station,
Clarendon Station,Clarendon Station,
East Richmond Station,East Richmond Station,
Richmond Station,Richmond Station,
Merrylands Station,Merrylands Station,
Guildford Station,Guildford Station,
Yennora Station,Yennora Station,
Fairfield Station,Fairfield Station,
Canley Vale Station,Canley Vale Station,
Berala Station,Berala Station,
Regents Park Station,Regents Park Station,
Chester Hill Station,Chester Hill Station,
Leightonfield Staation,Leightonfield Staation,
Villawood Station,Villawood Station,
Carramar Station,Carramar Station,
Cabramatta Station,Cabramatta Station,
Birrong Station,Birrong Station,
Yagoona Station,Yagoona Station,
Bankstown Station,Bankstown Station,
Punchbowl Station,Punchbowl Station,
Wiley Park Station,Wiley Park Station,
Lakemba Station,Lakemba Station,
Belmore Station,Belmore Station,
Campsie Station,Campsie Station,
Canterbury Station,Canterbury Station,
Hurlstone Station,Hurlstone Station,
Dulwich Hill Station,Dulwich Hill Station,
Marrickville Station,Marrickville Station,
Erskineville Station,Erskineville Station,
St Peters Station,St Peters Station,
Sydenham Station,Sydenham Station,
Tempe Station,Tempe Station,
Wolli Creek Ground Station,Wolli Creek Ground Station,
Arncliffe Station,Arncliffe Station,
Banksia Station,Banksia Station,
Rockdale Station,Rockdale Station,
Kogarah Station,Kogarah Station,
Carlton Station,Carlton Station,
Allawah Station,Allawah Station,
Hurstville Station,Hurstville Station,
Penhurst Station,Penhurst Station,
Mortdale Station,Mortdale Station,
Oatley Station,Oatley Station,
Como Station,Como Station,
Jannali Station,Jannali Station,
Sutherland Station,Sutherland Station,
Loftus Station,Loftus Station,
Engadine Station,Engadine Station,
Heathcote Station,Heathcote Station,
Waterfall Station,Waterfall Station,
Helensburgh Station,Helensburgh Station,
Otford Station,Otford Station,
Stanwell Park,Stanwell Park,
Coalcliff Station,Coalcliff Station,
Wombarra Station,Wombarra Station,
Coledale Station,Coledale Station,
Austinmer Station,Austinmer Station,
Thirroul Station,Thirroul Station,
Bulli Station,Bulli Station,
Woonona Station,Woonona Station,
Bellambi Station,Bellambi Station,
Corrimal Station,Corrimal Station,
Towradgi Station,Towradgi Station,
Fairy Meadow Station,Fairy Meadow Station,
North Wollongong Station,North Wollongong Station,
Wollongong Station,Wollongong Station,
Coniston Station,Coniston Station,
Unanderra Station,Unanderra Station,
Kembla Grange Station,Kembla Grange Station,
Dapto Station,Dapto Station,
Albion Park Station,Albion Park Station,
Oak Flats Station,Oak Flats Station,
Shellharbour Station,Shellharbour Station,
Minnamurra Station,Minnamurra Station,
Bombo Station,Bombo Station,
Kiama Station,Kiama Station,
Gerringong Station,Gerringong Station,
Berry Station,Berry Station,
Bomaderry Station,Bomaderry Station,
Green Square Station,Green Square Station,
Mascot Station,Mascot Station,
Domestic Airport Station,Domestic Airport Station,
International Airport Station,International Airport Station,
Wolli Creek Underground Station,Wolli Creek Underground Station,
Turrella Station,Turrella Station,
Bardwell Park Station,Bardwell Park Station,
Bexley North Station,Bexley North Station,
Kingsgrove Station,Kingsgrove Station,
Beverly Hills Station,Beverly Hills Station,
Narwee Station,Narwee Station,
Riverwood Station,Riverwood Station,
Padstow Station,Padstow Station,
Revesby Station,Revesby Station,
Panania Station,Panania Station,
East Hills Station,East Hills Station,
Holsworthy Station,Holsworthy Station,
Warwick Farm Station,Warwick Farm Station,
Liverpool Station,Liverpool Station,
Casula Station,Casula Station,
Glenfield Station,Glenfield Station,
Macquarie Fields Station,Macquarie Fields Station,
Ingleburn Station,Ingleburn Station,
Minto Station,Minto Station,
Leumeah Station,Leumeah Station,
Campbelltown Station,Campbelltown Station,
Macarthur Station,Macarthur Station,
Edmondson Park Station,Edmondson Park Station,
Leppington Station,Leppington Station,
Kirrawee Station,Kirrawee Station,
Gymea Station,Gymea Station,
Miranda Station,Miranda Station,
Caringbah Station,Caringbah Station,
Woolooware Station,Woolooware Station,
Cronulla Station,Cronulla Station,
Martin Place Station,Martin Place Station,
Kings Cross Station,Kings Cross Station,
Edgecliff Station,Edgecliff Station,
Bondi Junction Station,Bondi Junction Station,
